Abandonar;quit;quit;quit
Achar;find;found;found
Acontecer;befall;befell;befallen
Acordar;wakeup;wokeup;wokenup
Aderir;cling;clung;clung
Adquirir;get;got;gotten
Afundar;sink;sank;sunk
Aguentar;satnd;stood;stood
Alcançar;overtake;overtook;overtaken
Alimentar;feed;fed;fed
Alugar;let;let;let
Alvejar;shoot;shot;shot
Amarrar;string;strung;strung
Andar;ride;rode;ridden
Apostar;bet;bet;bet
Arremessar;sling;slung;slung
Assentar;fling;flung;flung
Assoprar;lay;laid;laid
Atirar;throw;threw;trown
Balançar;swing;swung;swung
Bater;beat;beat;beaten
Bater2;hit;hit;hit
Beber;drink;drank;drunk
Brilhar;light;lit;lit
Cair;fall;fell;fallen
Cantar;sing;sang;sung
Cavocar;dig;dug;dug
Cherar_Mal;stink;stank;stunk
Colocar;put;put;put
Começar;begin;began;begun
Comer;eat;ate;eaten
Comprar;buy;bought;bought
Congelar;freeze;froze;frozen
Construir;build;built;built
Contar;tell;told;told
Contemplar;behold;beheld;beheld
Correr;run;ran;run
Cortar;cut;cut;cut
Cravar;stick;stuck;stuck
Crescer;grow;grew;grown
Curvar;bend;bent;bent
Cuspir;spit;spat;spat
Custar;cost;cost;cost
Dar;give;gave;given
Deitar;cast;cast;cast
Deitar;lie;lay;lain
Deixar;let;let;let
Desenhar;draw;drew;drawn
Deslizar;slide;slid;slid
Despertar;awake;awoke;awoken
Dirigir;drive;drove;driven
Dizer;say;said;said
Dormir;sleep;slept;slept
Emprestar;land;lent;lent
Encolher;shirnk;shrank;shrunk
Encontrar;meet;met;met
Enrolar;wind;wound;wound
Ensinar;teach;taught;taught
Entender;understand;understood;understood
Enviar;send;sent;sent
Escolher;choose;chose;chosen
Esconder;hide;hid;hidden
Escrever;write;wrote;written
Esforçar;strive;strove;striven
Espalhar;spread;spread;spread
Esquecer;forget;forgot;forgotten
Falar;speak;spoke;spoken
Fazer;do;dis;done
Fazer;make;made;made
Fazer;spring;sprang;sprung
Fechar;shut;shut;shut
Fiar;spin;spun;spun
Ficar;stay;stayed;won
Fugir;flee;fled;fled
Gastar;spend;spent;spent
Golpear;strike;struck;struck
Guardar;keep;kept;kept
Ir;go;went;gone
Irradiar;broadcast;broadcast;broadcast
Jurar;swear;swore;sworm
Ler;read;read;read
Levar;take;took;taken
Liderar;lead;led;led
Lutar;fight;fought;fought
Machucar;hurt;hurt;hurt
Marcar;set;set;set
Matar;slay;slew;slain
Moer;grind;ground;ground
Morder;bite;bit;bitten
Mostrar;show;showed;shown
Nadar;swing;swan;swung
Negociar;deal;dealt;dealt
Oferecer;bid;bid;bid
Ouvir;hear;heard;heard
Pagar;pay;paid;paid
Partir;leave;left;left
Pegar;catch;caught;caught
pendurar;hang;hung;hung
Pensar;think;thought;thought
Perder;lose;lost;lost
Perdoar;forgive;forgave;forgiven
Picar;Sting;stung;stung
Pisar;tread;trod;trodden
Poder;can;cuold;cuould
Procriar;beget;begot;begotten
Procurar;seek;sought;sought
Proibir;forbid;forbade;forbiden
Quebar;break;broke;broken
Rasgar;tear;tore;torn
Rastejar;creep;crept;crept
Reluzir;shine;shone;shone
Reproduzir;breed;bred;bred
Roubar;steal;stole;stolen
Saber;know;knew;known
Sacudir;shake;shook;shaken
Saltar;spring;sprang;sprung
Sangrar;bleed;bled;bled
Segurar;hold;held;held
Sentar;sit;sat;sat
Sentir;feel;felt;felt
Ser;be;was;been
Serrar;saw;sawed;sawn
Significar;mean;meant;meant
Soltar;rise;rose;risen
Submeter-se;undergo;underwent;undergone
Superar;overcome;overcame;overcome
Suportar;bear;bore;borne
Surgir;arise;arose;arisen
Sustentar;uphold;upheld;upheld
Ter;have;had;had
Tocar;ring;rang;rung
Tornar-se;become;became;become
Trazer;bring;brought;brought
Unir;bind;bound;bound
Varrer;sweep;swept;sept
Vencer;wind;won;won
Vender;sell;sold;sold
Ver;see;saw;seen
Vertir;wear;wore;worn
Vir;come;came;come
Voar;fly;flew;flown
